year,killed
1949,186
1950,228
1951,212
1952,228
1953,174
1954,184
1955,134
1956,155
1957,219
1958,207
1959,200
1960,176
1961,244
1962,250
1963,289
1964,325
1965,336
1966,297
1967,376
1968,407
1969,439
1970,529
1971,623
1972,651
1973,683
1974,716
1975,756
1976,725
1977,736
1978,716
1979,643
1980,523
1981,534
1982,465
1983,510
1984,497
1985,496
1986,528
1987,600
1988,590
1989,539
1990,525
1991,542
1992,625
1993,633
1994,685
1995,709
1996,601
1997,627
1998,636
1999,549
2000,516
2001,565
2002,548
2003,480
2004,505
2005,465
2006,439
2007,415
2008,433
2009,346
2010,375
2011,382
2012,290
2013,309
2014,319
2015,356
2016,377
2017,364
2018,316
2019,355
2020,302
2021,361
