,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
0,Austria,2010,2337000000.0,559000000.0,,,116.6,521.3,57.4,181.4,0.8,28.5,242092.0,157571.0,5828.0,,304000.0,1719.0,32393.0,75957.0,509.0,1436.0,1214.0,11052.0,351.0,23.0,,46410.0,35348.0,66.0,35348.0,6.6,552.0,7
19,Austria,2011,2448000000.0,494000000.0,,,108.2,529.2,50.3,167.8,0.8,28.9,243981.0,151931.0,5500.0,,302000.0,1719.0,32876.0,77258.0,509.0,1428.0,1214.0,9943.0,351.0,37.0,,45548.0,35129.0,62.3,35129.0,6.2,523.0,7
38,Austria,2012,2018000000.0,517000000.0,,,109.9,535.4,52.9,176.8,0.6,27.3,262879.0,153866.0,5566.0,,300000.0,1719.0,31772.0,77178.0,509.0,1479.0,1214.0,10714.0,351.0,39.0,,51426.0,40831.0,63.0,40831.0,6.3,531.0,6
57,Austria,2013,2022000000.0,559000000.0,,,106.5,540.6,53.7,170.3,0.6,26.3,274327.0,153638.0,5531.0,,293371.0,1719.0,39262.0,78107.0,509.0,1366.0,1214.0,10710.0,351.0,40.0,,48499.0,38502.0,53.7,38502.0,5.4,455.0,5
76,Austria,2014,2030000000.0,667000000.0,,,108.0,543.1,51.2,169.8,0.6,25.4,278251.0,151048.0,5531.0,,286783.0,1719.0,38620.0,80604.0,509.0,1367.0,1214.0,10122.0,351.0,40.0,,48100.0,37957.0,50.3,37957.0,5.1,430.0,5
95,Austria,2015,2006000000.0,692000000.0,,,126.3,543.2,60.6,201.8,0.6,26.5,282379.0,153396.0,5522.0,,280889.0,1719.0,39243.0,82622.0,509.0,1314.0,1214.0,8599.0,351.0,43.0,,47845.0,37960.0,55.4,37960.0,5.6,479.0,7
114,Austria,2016,1969000000.0,697000000.0,,,126.0,543.5,60.6,200.6,0.6,27.7,288792.0,162133.0,5491.0,,277077.0,1719.0,40541.0,85014.0,509.0,1272.0,1214.0,9071.0,351.0,39.0,,48825.0,38466.0,49.4,38466.0,5.0,432.0,5
133,Austria,2017,2070000000.0,687000000.0,,,122.4,548.1,58.8,194.1,0.6,27.7,290583.0,165077.0,5527.0,,275912.0,1743.0,39941.0,86854.0,509.0,1258.0,1214.0,9620.0,351.0,43.0,,47672.0,37402.0,47.1,37402.0,4.7,414.0,7
152,Austria,2018,2148000000.0,726000000.0,,,111.3,554.1,54.4,184.9,0.6,26.7,309534.0,171694.0,5526.0,,274394.0,1743.0,39448.0,,509.0,1206.0,1214.0,7202.0,351.0,44.0,,46934.0,36846.0,46.3,36846.0,4.6,409.0,7
170,Austria,2019,2303500000.0,752000000.0,,,114.4,560.7,56.3,,0.6,25.8,,,,,,,,,,,,,,,,45556.0,35736.0,46.8,,4.7,416.0,25
187,Austria,2020,2553700000.0,791000000.0,,,113.2,565.1,,,0.7,29.1,,,,,,,,,,,,,,,,38074.0,30670.0,38.6,,3.9,344.0,26
