,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,351,351,351,351,351,351,351,351,351
1,Belarus,..,..,1 796,1 728,1 643,1 714,1 714,2 115,1 889
2,Bulgaria,470,470,470,470,470,470,470,470,470
3,Croatia,805,1 017,1 017,1 017,1 017,1 017,1 017,1 017,1 017
4,Czech Republic,676,676,676,687,687,720,720,720,720
5,Estonia,(E) 335,335,335,399,..,..,..,..,..
6,Finland,8 006,8 013,8 014,8 052,8 052,8 127,8 136,8 136,8 132
7,France,5 110,5 019,4 996,5 064,4 718,4 822,4 773,5 060,5 065
8,Germany,7 728,7 728,7 675,7 675,7 675,7 675,7 675,7 675,7 675
9,Hungary,1 864,1 864,1 864,1 864,1 864,1 864,1 864,1 864,1 864
10,Italy,1 562,1 562,1 562,1 562,1 562,1 562,1 562,1 562,1 562
11,Kazakhstan,..,4 094,4 151,4 151,4 151,4 151,4 151,4 151,4 081
12,Lithuania,448,451,452,452,452,446,485,488,493
13,Moldova,42,42,42,42,42,42,45,90,90
14,Netherlands,6 104,..,..,6 242,6 251,6 261,6 256,6 257,6 297
15,Poland,3 659,3 659,3 659,3 655,3 655,3 655,3 655,3 654,3 654
16,Romania,1 779,1 779,1 779,1 779,1 779,1 779,1 779,1 779,1 779
17,Russian Federation,101 371,101 334,101 381,101 664,101 668,101 662,101 485,101 485,101 485
18,"""Serbia, Republic of""",1 419,1 593,..,..,..,1 593,1 593,1 593,..
19,Slovak Republic,172,172,172,172,172,172,172,172,172
20,Ukraine,..,..,2 126,2 121,1 613,1 563,1 569,2 129,1 888
21,United Kingdom,1 050,1 050,1 050,1 050,1 050,1 050,1 050,1 050,1 050
22,United States,(E) 19 300,(E) 19 300,(B) 40 000,(E) 40 000,(E) 40 000,(E) 40 000,(E) 40 000,(E) 40 000,(E) 40 000
